Anim	Standing	Active	Lying	%HeadDown	DFL1	DFL2	DFL3	DFA12	DFA123	DBL1	DBL2	DBL3	DBA12	DBA123	X_Act	Y_Act	Steps	distance(m)	VarXY	DiffXY	MeanXY	prev_Active1	prev_Active2	prev_Active3	prev_Standing1	prev_Standing2	prev_Standing3	prev_Lying1	prev_Lying2	prev_Lying3	prev_steps1	prev_steps2	prev_steps3	prev_headdown1	prev_headdown2	prev_headdown3	Activity
a8	0.8434	0.1566	0	14	169.3	13.4	158.2	348.1	513.8	186.5	25.1	5	391.2	413.1	79	39	35	21.6	28.284271247461906	40	59	0.1804	0.269	0.2488	0.8196	0.731	0.7512	0	0	0	39	63	55	63	19	17	G
a1	0.8882	0.1118	0	43	27.6	40.3	23.8	40.4	99.9	14.6	196.7	207.9	204.3	215.8	52	33	26	8.76	13.435028842544405	19	42.5	0.053	0.2102	0.1582	0.947	0.7898	0.8418	0	0	0	11	47	35	28	5	3	G
a8	0.9138	0.0862	0	35	0.9	43.9	8.2	45.6	90.7	50.1	173.8	171.5	256.2	304.7	80	30	18	4.44	35.35533905932738	50	55	0.1566	0.1804	0.269	0.8434	0.8196	0.731	0	0	0	35	39	63	14	63	19	R
a1	0.9114	0.0886	0	27	26.7	180.1	43.2	194.8	369.2	189.9	30.5	190.8	355.7	522.1	52	45	21	2.65	4.949747468305833	7	48.5	0.1118	0.053	0.2102	0.8882	0.947	0.7898	0	0	0	26	11	47	43	28	5	G
a1	0.868	0.132	0	21	165.7	187.3	163.9	187.4	210.8	178.7	13.4	193.4	348.1	534.6	20	39	30	21.41	13.435028842544405	19	29.5	0.0886	0.1118	0.053	0.9114	0.8882	0.947	0	0	0	21	26	11	27	43	28	R
a1	0.9252	0.0748	0	15	180	168.7	41.9	227	394.9	4.3	65.7	163.2	74	238.4	34	76	17	5.31	29.69848480983499	42	55	0.132	0.0886	0.1118	0.868	0.9114	0.8882	0	0	0	30	21	26	21	27	43	R
a1	0.8488	0.0366	0.1146	55	73	62.8	8.2	84.8	140.8	156.8	165.1	37	175	330.2	38	50	7	5.16	8.48528137423857	12	44	0.0748	0.132	0.0886	0.9252	0.868	0.9114	0	0	0	17	30	21	15	21	27	R
a1	0.9838	0.0162	0	67	170.1	168	179.5	245.8	258.4	8.8	6.8	8.8	10.8	12.8	22	21	3	0.62	0.7071067811865476	1	21.5	0.0366	0.0748	0.132	0.8488	0.9252	0.868	0.1146	0	0	7	17	30	55	15	21	R
a1	0.8698	0.1302	0	16	168	7.2	170.9	335.7	506.3	4.1	167	21.6	173.1	357.3	16	7	26	4.69	6.363961030678928	9	11.5	0.0162	0.0366	0.0748	0.9838	0.8488	0.9252	0	0.1146	0	3	7	17	67	55	15	G
a1	0.9676	0.0324	0	9	56.4	194.3	22.8	234	441.2	180.7	141.8	186	247.3	328.4	12	37	7	16.8	17.67766952966369	25	24.5	0.1302	0.0162	0.0366	0.8698	0.9838	0.8488	0	0	0.1146	26	3	7	16	67	55	G
