Anim	Standing	Active	Lying	%HeadDown	DFL1	DFL2	DFL3	DFA12	DFA123	DBL1	DBL2	DBL3	DBA12	DBA123	X_Act	Y_Act	Steps	distance(m)	VarXY	DiffXY	MeanXY	prev_Active1	prev_Active2	prev_Active3	prev_Standing1	prev_Standing2	prev_Standing3	prev_Lying1	prev_Lying2	prev_Lying3	prev_steps1	prev_steps2	prev_steps3	prev_headdown1	prev_headdown2	prev_headdown3	Activity
a14	0.8594	0.1406	0	64	60.5	10.3	32.8	122.3	158.9	205.3	9.3	177.6	412.5	590.1	168	5	26	16.68	115.25840533340724	163	86.5	0.202	0.1726	0.1382	0.798	0.8274	0.8618	0	0	0	40	32	22	61	77	77	G
a6	0.8954	0.1046	0	33	259.4	11.9	23.6	521.1	544.8	42.4	32.1	10.3	59.3	101.4	34	32	24	12.16	1.4142135623730951	2	33	0.1056	0.2238	0.04	0.8944	0.7762	0.96	0	0	0	24	51	8	37	48	57	G
a11	0.6924	0.3076	0	65	168.8	163.6	90	212	404.2	30.8	81.7	178.4	103.1	295	188	24	46	5.05	115.9655121145938	164	106	0.143	0.2726	0.2758	0.857	0.7274	0.7242	0	0	0	23	52	42	84	71	84	G
a14	0.8566	0.1434	0	85	11.1	8	194.2	22.5	212.3	6.5	47.4	66.5	60.3	85.3	134	8	27	8.8	89.09545442950498	126	71	0.1406	0.202	0.1726	0.8594	0.798	0.8274	0	0	0	26	40	32	64	61	77	G
a6	0.9492	0.0508	0	36	28.4	193	30.1	197.1	364.1	192.7	163	27.5	222.8	378.5	76	22	11	8.13	38.18376618407357	54	49	0.1046	0.1056	0.2238	0.8954	0.8944	0.7762	0	0	0	24	24	51	33	37	48	G
a11	0.827	0.173	0	75	174.5	88.7	2.6	383.2	470.7	168.1	180.1	82.7	194.8	384.7	143	44	32	2.63	70.0035713374682	99	93.5	0.3076	0.143	0.2726	0.6924	0.857	0.7274	0	0	0	46	23	52	65	84	71	G
a6	0.9284	0.0716	0	51	99.9	212.1	7.7	288.3	495.1	19.1	163	154	193.6	217.5	80	55	14	17.13	17.67766952966369	25	67.5	0.0508	0.1046	0.1056	0.9492	0.8954	0.8944	0	0	0	11	24	24	36	33	37	G
a14	0.8812	0.1188	0	38	200.7	15.7	17.5	386.5	419.7	182.8	87.2	82.2	385.9	396.6	133	33	21	9.23	70.71067811865476	100	83	0.1434	0.1406	0.202	0.8566	0.8594	0.798	0	0	0	27	26	40	85	64	61	G
a11	0.7726	0.2274	0	65	171.9	83	37.1	363.9	436.1	164.7	217.7	224.9	220.6	232.5	222	30	40	5.13	135.7645019878171	192	126	0.173	0.3076	0.143	0.827	0.6924	0.857	0	0	0	32	46	23	75	65	84	G
a11	0.7512	0.2488	0	84	158	29.9	168.5	343.7	541.2	175.5	151.2	160.9	207.6	219.2	144	22	39	10.87	86.2670273047588	122	83	0.2274	0.173	0.3076	0.7726	0.827	0.6924	0	0	0	40	32	46	65	75	65	G
a14	0.8604	0.1396	0	77	197.6	176.5	164.3	236	291.2	185.7	29.9	204.9	343.7	519.1	103	15	24	10.85	62.22539674441618	88	59	0.1188	0.1434	0.1406	0.8812	0.8566	0.8594	0	0	0	21	27	26	38	85	64	G
a6	0.8872	0.1128	0	39	30.8	88.2	181.5	91.3	266.6	6.7	185.8	84.7	186	318.8	106	11	27	3.53	67.17514421272202	95	58.5	0.0716	0.0508	0.1046	0.9284	0.9492	0.8954	0	0	0	14	11	24	51	36	33	G
a6	0.874	0.126	0	15	42.1	52.6	10.3	59.1	101.4	34.7	95.2	33.8	98.7	170.5	74	26	29	12.31	33.94112549695428	48	50	0.1128	0.0716	0.0508	0.8872	0.9284	0.9492	0	0	0	27	14	11	39	51	36	G
a14	0.8946	0.1054	0	81	191.1	194.3	123.2	194.9	325.4	52.8	202.9	195.9	216.2	246.3	163	19	20	5.99	101.82337649086284	144	91	0.1396	0.1188	0.1434	0.8604	0.8812	0.8566	0	0	0	24	21	27	77	38	85	G
a11	0.7496	0.2504	0	91	27.4	160.6	160	212	245.2	62.6	141.4	170.8	244.1	323.8	151	35	41	5.78	82.02438661763951	116	93	0.2488	0.2274	0.173	0.7512	0.7726	0.827	0	0	0	39	40	32	84	65	75	G
a6	0.8746	0.1254	0	13	185.1	204	35.1	209.7	399.3	209.8	38.1	32.2	385.1	426.4	108	9	25	13.44	70.0035713374682	99	58.5	0.126	0.1128	0.0716	0.874	0.8872	0.9284	0	0	0	29	27	14	15	39	51	G
a14	0.9206	0.0794	0	86	30.8	192.2	191.2	199.6	242.8	72.3	205.2	37.1	264.2	436.1	118	31	12	5.07	61.518289963229634	87	74.5	0.1054	0.1396	0.1188	0.8946	0.8604	0.8812	0	0	0	20	24	21	81	77	38	G
a11	0.7796	0.2204	0	96	158.2	68.5	156.6	323.2	485.8	161.3	29.3	67	306	351.9	186	14	40	3.09	121.62236636408618	172	100	0.2504	0.2488	0.2274	0.7496	0.7512	0.7726	0	0	0	41	39	40	91	84	65	G
a14	0.8482	0.1518	0	85	29	23.8	169.3	65.5	212.1	203.9	205	19.8	245.3	430.6	148	12	33	19.38	96.16652224137046	136	80	0.0794	0.1054	0.1396	0.9206	0.8946	0.8604	0	0	0	12	20	24	86	81	77	G
a11	0.7608	0.2392	0	84	11.1	17	94.7	37.4	116.6	16.5	154.7	23.9	155.9	295.4	202	26	45	14.6	124.45079348883236	176	114	0.2204	0.2504	0.2488	0.7796	0.7496	0.7512	0	0	0	40	41	39	96	91	84	G
a6	0.9112	0.0888	0	2	102.2	210.7	32	234.9	414.3	91.5	60.5	207.1	144.4	295.7	35	6	18	3.6	20.506096654409877	29	20.5	0.1254	0.126	0.1128	0.8746	0.874	0.8872	0	0	0	25	29	27	13	15	39	G
a6	0.8036	0.1964	0	29	65.3	56.8	224.2	114.1	326.1	171.5	11.7	16.8	331.4	339.4	128	19	48	33.65	77.07463914933368	109	73.5	0.0888	0.1254	0.126	0.9112	0.8746	0.874	0	0	0	18	25	29	2	13	15	G
a11	0.85	0.15	0	70	18.3	165.1	222.4	175	248.1	155.2	51.4	13.6	323.1	370	172	26	26	5.18	103.23759005323592	146	99	0.2392	0.2204	0.2504	0.7608	0.7796	0.7496	0	0	0	45	40	41	84	96	91	G
a14	0.926	0.074	0	90	55.3	48.1	179.3	62.4	230.9	25.2	181.4	51.3	226	399.5	134	12	11	3.92	86.2670273047588	122	73	0.1518	0.0794	0.1054	0.8482	0.9206	0.8946	0	0	0	33	12	20	85	86	81	G
a14	0.8554	0.1446	0	82	190.1	35.2	197.6	362.5	551.6	24.4	50	36	53.6	73.6	134	13	26	11.38	85.55992052357225	121	73.5	0.074	0.1518	0.0794	0.926	0.8482	0.9206	0	0	0	11	33	12	90	85	86	G
a6	0.97	0.03	0	89	183.9	207.9	30.4	211.1	414.5	183.5	64.8	65.4	360	365.6	127	22	7	3.38	74.24621202458749	105	74.5	0.1964	0.0888	0.1254	0.8036	0.9112	0.8746	0	0	0	48	18	25	29	2	13	G
a11	0.7362	0.2638	0	85	55.8	53.3	167.7	62.9	229.3	167.5	52.6	27.6	341.2	420.2	170	10	46	2.74	113.1370849898476	160	90	0.15	0.2392	0.2204	0.85	0.7608	0.7796	0	0	0	26	45	40	70	84	96	G
